"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","sr","outcome","accuracy"
"4045","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>","enter","html-keyboard-response","0","4046","0.0-0.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","","","",""
"6031","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      ","enter","html-keyboard-response","1","10079","0.0-1.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","","","",""
"1878","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","11957","0.0-2.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","","","",""
"24824","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      ","enter","html-keyboard-response","3","36782","0.0-3.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","","","",""
"16496","
        <p>You will receive Â£2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive Â£0.50</p>
        <p>For 100 - 200 tokens, you will receive Â£1.00</p>
        <p>For 200 - 300 tokens, you will receive Â£1.50</p>
        <p>If you get 300 tokens or above, you will receive Â£2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      ","enter","html-keyboard-response","4","53278","0.0-4.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","","","",""
"","","","pavlovia","5","54571","0.0-5.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","","","",""
"1603","<p> Block 1</div> Press any key to continue. </p>","enter","html-keyboard-response","6","56174","0.0-6.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","","","",""
"4670","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","7","60845","0.0-7.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"3015","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","8","63861","0.0-8.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-104",""
"2535","<p> Total Tokens for current block: -104.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","9","66397","0.0-9.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-104",""
"1520","<p> Total Tokens for current block: -208.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","10","67917","0.0-10.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-196",""
"2280","<p> Total Tokens for current block: -404.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","11","70197","0.0-11.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"2064","<p> Total Tokens for current block: -404.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","12","72261","0.0-12.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-196",""
"3264","<p> Total Tokens for current block: -600.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","13","75525","0.0-13.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-201",""
"1807","<p> Total Tokens for current block: -801.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","14","77332","0.0-14.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-98",""
"1936","<p> Total Tokens for current block: -899.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","15","79268","0.0-15.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-104",""
"2120","<p> Total Tokens for current block: -1003.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","16","81389","0.0-16.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-98",""
"1663","<p> Total Tokens for current block: -1101.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","17","83052","0.0-17.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"1984","<p> Total Tokens for current block: -1101.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","18","85037","0.0-18.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-102",""
"1055","<p> Total Tokens for current block: -1203.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","19","86092","0.0-19.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"1960","<p> Total Tokens for current block: -1203.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","20","88052","0.0-20.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-199",""
"904","<p> Total Tokens for current block: -1402.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","21","88956","0.0-21.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-99",""
"1360","<p> Total Tokens for current block: -1501.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","22","90316","0.0-22.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"2680","<p> Total Tokens for current block: -1501.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","23","92997","0.0-23.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-98",""
"1407","<p> Total Tokens for current block: -1599.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","24","94404","0.0-24.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-198",""
"1648","<p> Total Tokens for current block: -1797.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","25","96052","0.0-25.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-102",""
"4744","<p> Total Tokens for current block: -1899.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","26","100797","0.0-26.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-196",""
"2136","<p> Total Tokens for current block: -2095.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","27","102933","0.0-27.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"1359","<p> Total Tokens for current block: -2095.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","28","104292","0.0-28.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-195",""
"1560","<p> Total Tokens for current block: -2290.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","29","105852","0.0-29.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-103",""
"1176","<p> Total Tokens for current block: -2393.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","30","107028","0.0-30.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-97",""
"1752","<p> Total Tokens for current block: -2490.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","31","108781","0.0-31.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-104",""
"2536","<p> Total Tokens for current block: -2594.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","32","111317","0.0-32.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"2215","<p> Total Tokens for current block: -2594.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","33","113533","0.0-33.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"2600","<p> Total Tokens for current block: -2594.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","34","116133","0.0-34.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-199",""
"1087","<p> Total Tokens for current block: -2793.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","35","117221","0.0-35.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-96",""
"1304","<p> Total Tokens for current block: -2889.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","36","118525","0.0-36.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"1568","<p> Total Tokens for current block: -2889.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","37","120093","0.0-37.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-104",""
"656","<p> Total Tokens for current block: -2993.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","38","120749","0.0-38.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-202",""
"1256","<p> Total Tokens for current block: -3195.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","39","122005","0.0-39.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-198",""
"784","<p> Total Tokens for current block: -3393.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","40","122789","0.0-40.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"775","<p> Total Tokens for current block: -3393.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","41","123565","0.0-41.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-197",""
"1424","<p> Total Tokens for current block: -3590.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","42","124989","0.0-42.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-102",""
"720","<p> Total Tokens for current block: -3692.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","43","125709","0.0-43.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"1128","<p> Total Tokens for current block: -3692.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","44","126837","0.0-44.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-203",""
"999","<p> Total Tokens for current block: -3895.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","45","127837","0.0-45.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-103",""
"768","<p> Total Tokens for current block: -3998.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","46","128605","0.0-46.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-199",""
"783","<p> Total Tokens for current block: -4197.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","47","129389","0.0-47.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"1216","<p> Total Tokens for current block: -4197.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","48","130605","0.0-48.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"655","<p> Total Tokens for current block: -4197.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","49","131261","0.0-49.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"560","<p> Total Tokens for current block: -4197.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","50","131821","0.0-50.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"544","<p> Total Tokens for current block: -4197.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","51","132365","0.0-51.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-203",""
"1288","<p> Total Tokens for current block: -4400.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","52","133653","0.0-52.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-98",""
"680","<p> Total Tokens for current block: -4498.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","53","134333","0.0-53.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","-198",""
"880","<p> Total Tokens for current block: -4696.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","54","135213","0.0-54.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","S","-102",""
"591","<p> Total Tokens for current block: -4798.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","55","135805","0.0-55.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"704","<p> Total Tokens for current block: -4798.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","56","136509","0.0-56.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","0","R","0",""
"null","<p> Total Tokens for Block 1: -4798.00 </p>","null","html-keyboard-response","57","138524","0.0-57.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","","","",""
"1730","<p> Block 2</div> Press any key to continue. </p>","enter","html-keyboard-response","58","140254","0.0-58.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","","","",""
"1134","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","59","141389","0.0-59.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","1","R","-37",""
"1279","<p> Total Tokens for current block: -37.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","60","142669","0.0-60.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","1","S","-19",""
"1544","<p> Total Tokens for current block: -56.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","61","144213","0.0-61.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","1","R","-39",""
"984","<p> Total Tokens for current block: -95.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","62","145197","0.0-62.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","1","S","-19",""
"679","<p> Total Tokens for current block: -114.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","63","145877","0.0-63.0","5fc4aaf87e22685e9e8e5c8f","64ad530e4483ba3cf33d797a","64bad9a1effddfb9a807ae4f","1","S","-16",""
